date,daily_rank,name,url,concurrent_users,visits,average_session_time
2025/5/7,1,Dead Rails [Alpha],https://romonitorstats.com/experience/116495829188952/,604978,2873629806,15.11
2025/5/7,2,Brookhaven 🏡RP,https://romonitorstats.com/experience/4924922222/,513063,64701592130,15.55
2025/5/7,3,[☄️⭐GRAVITY] Blox Fruits,https://romonitorstats.com/experience/2753915549/,326866,51046299344,16.75
2025/5/7,4,[🐶] Grow a Garden 🌶️,https://romonitorstats.com/experience/126884695634066/,306150,568035125,13.75
2025/5/7,5,🎲 Bubble Gum Simulator INFINITY,https://romonitorstats.com/experience/85896571713843/,230570,224273927,42.09
2025/5/7,6,Blue Lock: Rivals,https://romonitorstats.com/experience/18668065416/,202701,2631069149,17.93
2025/5/7,7,🥚 Dandy's World [ALPHA],https://romonitorstats.com/experience/16116270224/,141046,3276963322,12.69
2025/5/7,8,[UPD 🔪] Forsaken,https://romonitorstats.com/experience/18687417158/,120892,450074592,19.18
2025/5/7,9,Arise Crossover,https://romonitorstats.com/experience/87039211657390/,96502,575833820,18.38
2025/5/7,10,RIVALS,https://romonitorstats.com/experience/17625359962/,90875,5775145006,6.05
2025/5/8,1,Dead Rails [Alpha],https://romonitorstats.com/experience/116495829188952/,555041,48553672,15.48
2025/5/8,2,Brookhaven 🏡RP,https://romonitorstats.com/experience/4924922222/,476778,36324447,15.41
2025/5/8,3,[🐶] Grow a Garden 🌶️,https://romonitorstats.com/experience/126884695634066/,317343,36542697,16.13
2025/5/8,4,[☄️⭐GRAVITY] Blox Fruits,https://romonitorstats.com/experience/2753915549/,294341,25907384,18.03
2025/5/8,5,🎲 Bubble Gum Simulator INFINITY,https://romonitorstats.com/experience/85896571713843/,201236,191919208,45.2
2025/5/8,6,Blue Lock: Rivals,https://romonitorstats.com/experience/18668065416/,189654,10457885,19.84
2025/5/8,7,🥚 Dandy's World [ALPHA],https://romonitorstats.com/experience/16116270224/,102666,9110671,12.66
2025/5/8,8,Murder Mystery 2,https://romonitorstats.com/experience/142823291/,101602,20466846458,11.59
2025/5/8,9,[UPD 🔪] Forsaken,https://romonitorstats.com/experience/18687417158/,92805,5705868,19.94
2025/5/8,10,Arise Crossover,https://romonitorstats.com/experience/87039211657390/,86910,64640893,19.90
2025-05-09,1,Dead Rails [Alpha],https://romonitorstats.com/experience/116495829188952/,668393,39361832,13.1
2025-05-09,2,[🐶] Grow a Garden 🌶️,https://romonitorstats.com/experience/126884695634066/,519866,282301838,11.97
2025-05-09,3,Brookhaven 🏡RP,https://romonitorstats.com/experience/4924922222/,477979,28515348,13.36
2025-05-09,4,[☄️⭐GRAVITY] Blox Fruits,https://romonitorstats.com/experience/2753915549/,444335,198233077,16.45
2025-05-09,5,🎲 Bubble Gum Simulator INFINITY,https://romonitorstats.com/experience/85896571713843/,231222,4210210,49.27
2025-05-09,6,Blue Lock: Rivals,https://romonitorstats.com/experience/18668065416/,198761,107600169,17.67
2025-05-09,7,RIVALS,https://romonitorstats.com/experience/17625359962/,153648,3141911245,5.66
2025-05-09,8,[UPD 🔪] Forsaken,https://romonitorstats.com/experience/18687417158/,105941,49213432,17.37
2025-05-09,9,🥚 Dandy's World [ALPHA],https://romonitorstats.com/experience/16116270224/,100677,764434243,11.39
2025-05-09,10,Arise Crossover,https://romonitorstats.com/experience/87039211657390/,93928,445415816,19.54

